"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","VMware_c0:00:08","Broadcast","ARP","42","Who has 192.168.255.2? Tell 192.168.255.1"
"2","0.744850","VMware_c0:00:08","Broadcast","ARP","42","Who has 192.168.255.2? Tell 192.168.255.1"
"3","1.738098","VMware_c0:00:08","Broadcast","ARP","42","Who has 192.168.255.2? Tell 192.168.255.1"
"4","3.024147","VMware_c0:00:08","Broadcast","ARP","42","Who has 192.168.255.2? Tell 192.168.255.1"
"5","3.739243","VMware_c0:00:08","Broadcast","ARP","42","Who has 192.168.255.2? Tell 192.168.255.1"
"6","4.740930","VMware_c0:00:08","Broadcast","ARP","42","Who has 192.168.255.2? Tell 192.168.255.1"
"7","35.791748","192.168.255.1","192.168.255.254","DHCP","358","DHCP Request  - Transaction ID 0x4aa0bf98"
"8","35.792040","192.168.255.254","192.168.255.1","DHCP","342","DHCP ACK      - Transaction ID 0x4aa0bf98"
"9","35.892220","fe80::7415:af12:4bc3:c2cc","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"10","35.892822","192.168.255.1","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"11","36.062288","fe80::7415:af12:4bc3:c2cc","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"12","36.062695","192.168.255.1","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"13","36.066018","fe80::7415:af12:4bc3:c2cc","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"14","36.066337","192.168.255.1","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"15","36.074830","fe80::7415:af12:4bc3:c2cc","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"16","36.075767","192.168.255.1","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"17","36.247158","192.168.255.1","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"18","36.247549","fe80::7415:af12:4bc3:c2cc","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"19","36.506582","fe80::7415:af12:4bc3:c2cc","ff02::1:3","LLMNR","95","Standard query 0x45c3 ANY DESKTOP-PM9VRS8"
"20","36.506918","192.168.255.1","224.0.0.252","LLMNR","75","Standard query 0x45c3 ANY DESKTOP-PM9VRS8"
"21","37.189543","VMware_c0:00:08","Broadcast","ARP","42","Who has 192.168.255.2? Tell 192.168.255.1"
