No.,Time,Source,Destination,Protocol,Length,Info,attack_probability,prediction,confidence
1,0.0,VMware_c0:00:08,Broadcast,ARP,42,Who has 192.168.255.2? Tell 192.168.255.1,0.931376,ATTACK,0.931376
2,0.74485,VMware_c0:00:08,Broadcast,ARP,42,Who has 192.168.255.2? Tell 192.168.255.1,0.931376,ATTACK,0.931376
3,1.738098,VMware_c0:00:08,Broadcast,ARP,42,Who has 192.168.255.2? Tell 192.168.255.1,0.931376,ATTACK,0.931376
4,3.024147,VMware_c0:00:08,Broadcast,ARP,42,Who has 192.168.255.2? Tell 192.168.255.1,0.931376,ATTACK,0.931376
5,3.739243,VMware_c0:00:08,Broadcast,ARP,42,Who has 192.168.255.2? Tell 192.168.255.1,0.931376,ATTACK,0.931376
6,4.74093,VMware_c0:00:08,Broadcast,ARP,42,Who has 192.168.255.2? Tell 192.168.255.1,0.931376,ATTACK,0.931376
7,35.791748,192.168.255.1,192.168.255.254,DHCP,358,DHCP Request  - Transaction ID 0x4aa0bf98,0.931376,ATTACK,0.931376
8,35.79204,192.168.255.254,192.168.255.1,DHCP,342,DHCP ACK      - Transaction ID 0x4aa0bf98,0.931376,ATTACK,0.931376
9,35.89222,fe80::7415:af12:4bc3:c2cc,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,0.931376,ATTACK,0.931376
10,35.892822,192.168.255.1,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252,0.931376,ATTACK,0.931376
11,36.062288,fe80::7415:af12:4bc3:c2cc,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,0.931376,ATTACK,0.931376
12,36.062695,192.168.255.1,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources,0.931376,ATTACK,0.931376
13,36.066018,fe80::7415:af12:4bc3:c2cc,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,0.931376,ATTACK,0.931376
14,36.066337,192.168.255.1,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252,0.931376,ATTACK,0.931376
15,36.07483,fe80::7415:af12:4bc3:c2cc,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,0.931376,ATTACK,0.931376
16,36.075767,192.168.255.1,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources,0.931376,ATTACK,0.931376
17,36.247158,192.168.255.1,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources,0.931376,ATTACK,0.931376
18,36.247549,fe80::7415:af12:4bc3:c2cc,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,0.931376,ATTACK,0.931376
19,36.506582,fe80::7415:af12:4bc3:c2cc,ff02::1:3,LLMNR,95,Standard query 0x45c3 ANY DESKTOP-PM9VRS8,0.931376,ATTACK,0.931376
20,36.506918,192.168.255.1,224.0.0.252,LLMNR,75,Standard query 0x45c3 ANY DESKTOP-PM9VRS8,0.931376,ATTACK,0.931376
21,37.189543,VMware_c0:00:08,Broadcast,ARP,42,Who has 192.168.255.2? Tell 192.168.255.1,0.931376,ATTACK,0.931376
22,37.263508,fe80::7415:af12:4bc3:c2cc,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,0.931376,ATTACK,0.931376
23,37.264282,192.168.255.1,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252,0.931376,ATTACK,0.931376
24,37.381582,fe80::7415:af12:4bc3:c2cc,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,0.931376,ATTACK,0.931376
25,37.382131,192.168.255.1,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources,0.931376,ATTACK,0.931376
26,37.395986,fe80::7415:af12:4bc3:c2cc,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,0.931376,ATTACK,0.931376
27,37.396165,192.168.255.1,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252,0.931376,ATTACK,0.931376
28,37.397547,fe80::7415:af12:4bc3:c2cc,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,0.931376,ATTACK,0.931376
29,37.397871,192.168.255.1,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources,0.931376,ATTACK,0.931376
30,37.736072,VMware_c0:00:08,Broadcast,ARP,42,Who has 192.168.255.2? Tell 192.168.255.1,0.931376,ATTACK,0.931376
31,37.736143,192.168.255.1,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources,0.931376,ATTACK,0.931376
32,37.736506,fe80::7415:af12:4bc3:c2cc,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,0.931376,ATTACK,0.931376
33,37.821886,fe80::7415:af12:4bc3:c2cc,ff02::1:3,LLMNR,95,Standard query 0xa2cf ANY DESKTOP-PM9VRS8,0.931376,ATTACK,0.931376
