proto,service,sbytes,dbytes,rate,dur
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
dhcp,unknown,358,358,10,1
dhcp,unknown,342,342,10,1
icmpv6,unknown,90,90,10,1
igmpv3,unknown,54,54,10,1
icmpv6,unknown,90,90,10,1
igmpv3,unknown,54,54,10,1
icmpv6,unknown,90,90,10,1
igmpv3,unknown,54,54,10,1
icmpv6,unknown,90,90,10,1
igmpv3,unknown,54,54,10,1
igmpv3,unknown,54,54,10,1
icmpv6,unknown,90,90,10,1
llmnr,unknown,95,95,10,1
llmnr,unknown,75,75,10,1
arp,unknown,42,42,10,1
icmpv6,unknown,90,90,10,1
igmpv3,unknown,54,54,10,1
icmpv6,unknown,90,90,10,1
igmpv3,unknown,54,54,10,1
icmpv6,unknown,90,90,10,1
igmpv3,unknown,54,54,10,1
icmpv6,unknown,90,90,10,1
igmpv3,unknown,54,54,10,1
arp,unknown,42,42,10,1
igmpv3,unknown,54,54,10,1
icmpv6,unknown,90,90,10,1
llmnr,unknown,95,95,10,1
llmnr,unknown,75,75,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
arp,unknown,42,42,10,1
