proto,service,sbytes,dbytes,rate,dur,attack_probability,prediction,confidence
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
dhcp,unknown,358,358,10,1,0.06597046,NORMAL,0.06597046
dhcp,unknown,342,342,10,1,0.06597046,NORMAL,0.06597046
icmpv6,unknown,90,90,10,1,0.06341827,NORMAL,0.06341827
igmpv3,unknown,54,54,10,1,0.06341827,NORMAL,0.06341827
icmpv6,unknown,90,90,10,1,0.06341827,NORMAL,0.06341827
igmpv3,unknown,54,54,10,1,0.06341827,NORMAL,0.06341827
icmpv6,unknown,90,90,10,1,0.06341827,NORMAL,0.06341827
igmpv3,unknown,54,54,10,1,0.06341827,NORMAL,0.06341827
icmpv6,unknown,90,90,10,1,0.06341827,NORMAL,0.06341827
igmpv3,unknown,54,54,10,1,0.06341827,NORMAL,0.06341827
igmpv3,unknown,54,54,10,1,0.06341827,NORMAL,0.06341827
icmpv6,unknown,90,90,10,1,0.06341827,NORMAL,0.06341827
llmnr,unknown,95,95,10,1,0.06341827,NORMAL,0.06341827
llmnr,unknown,75,75,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
icmpv6,unknown,90,90,10,1,0.06341827,NORMAL,0.06341827
igmpv3,unknown,54,54,10,1,0.06341827,NORMAL,0.06341827
icmpv6,unknown,90,90,10,1,0.06341827,NORMAL,0.06341827
igmpv3,unknown,54,54,10,1,0.06341827,NORMAL,0.06341827
icmpv6,unknown,90,90,10,1,0.06341827,NORMAL,0.06341827
igmpv3,unknown,54,54,10,1,0.06341827,NORMAL,0.06341827
icmpv6,unknown,90,90,10,1,0.06341827,NORMAL,0.06341827
igmpv3,unknown,54,54,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
igmpv3,unknown,54,54,10,1,0.06341827,NORMAL,0.06341827
icmpv6,unknown,90,90,10,1,0.06341827,NORMAL,0.06341827
llmnr,unknown,95,95,10,1,0.06341827,NORMAL,0.06341827
llmnr,unknown,75,75,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
arp,unknown,42,42,10,1,0.06341827,NORMAL,0.06341827
