No.,Time,Source,Destination,Protocol,Length,Info,attack_probability,prediction,confidence
1,0.0,192.168.100.130,192.168.100.1,DNS,92,Standard query 0xf73a HTTPS mobile.events.data.microsoft.com,0.931376,ATTACK,0.931376
2,0.00031,192.168.100.130,192.168.100.1,DNS,92,Standard query 0x778c A mobile.events.data.microsoft.com,0.931376,ATTACK,0.931376
3,0.012288,192.168.100.1,192.168.100.130,DNS,257,Standard query response 0xf73a HTTPS mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdeus11.eastus.cloudapp.azure.com SOA ns1-201.azure-dns.com,0.931376,ATTACK,0.931376
4,0.018131,192.168.100.1,192.168.100.130,DNS,212,Standard query response 0x778c A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdeus01.eastus.cloudapp.azure.com A 52.168.112.66,0.931376,ATTACK,0.931376
5,0.018922,192.168.100.130,52.168.112.66,TCP,66,3793  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0.931376,ATTACK,0.931376
6,0.223413,52.168.112.66,192.168.100.130,TCP,66,"443  >  3793 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 WS=256 SACK_PERM",0.931376,ATTACK,0.931376
7,0.22351,192.168.100.130,52.168.112.66,TCP,54,3793  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0,0.931376,ATTACK,0.931376
8,0.224389,192.168.100.130,52.168.112.66,TLSv1.3,1891,Client Hello (SNI=mobile.events.data.microsoft.com),0.931376,ATTACK,0.931376
9,0.429365,52.168.112.66,192.168.100.130,TCP,54,443  >  3793 [ACK] Seq=1 Ack=1838 Win=4194816 Len=0,0.931376,ATTACK,0.931376
10,0.429542,52.168.112.66,192.168.100.130,TLSv1.3,153,"Hello Retry Request, Change Cipher Spec",0.931376,ATTACK,0.931376
11,0.430663,192.168.100.130,52.168.112.66,TLSv1.3,737,"Change Cipher Spec, Client Hello (SNI=mobile.events.data.microsoft.com)",0.931376,ATTACK,0.931376
