No.,Time,Source,Destination,Protocol,Length,Info,attack_probability,prediction,confidence
1,0.0,192.168.100.130,2.17.161.67,QUIC,1292,"Initial, DCID=2041f9e83198abb0, PKN: 1, PING, CRYPTO, PING, PING, CRYPTO, CRYPTO, PING, PING, CRYPTO, PADDING, PING, PING, PADDING, PING, PADDING, PING, PING, PADDING, CRYPTO",0.931376,ATTACK,0.931376
2,8.2e-05,192.168.100.130,2.17.161.67,QUIC,1292,"Initial, DCID=2041f9e83198abb0, PKN: 2, PING, PADDING, PING, PADDING, PING, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING",0.931376,ATTACK,0.931376
3,0.017925,2.17.161.67,192.168.100.130,QUIC,82,"Initial, SCID=48c6591b3940fd2b, PKN: 1, ACK",0.931376,ATTACK,0.931376
4,0.018964,2.17.161.67,192.168.100.130,QUIC,1292,"Initial, SCID=48c6591b3940fd2b, PKN: 2, ACK, PADDING",0.931376,ATTACK,0.931376
5,0.020182,2.17.161.67,192.168.100.130,QUIC,1292,"Initial, SCID=48c6591b3940fd2b, PKN: 3, CRYPTO, PADDING",0.931376,ATTACK,0.931376
6,0.020182,2.17.161.67,192.168.100.130,QUIC,296,"Handshake, SCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
7,0.0234,192.168.100.130,2.17.161.67,QUIC,1292,"Handshake, DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
8,0.023576,192.168.100.130,2.17.161.67,QUIC,131,"Handshake, DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
9,0.0237,192.168.100.130,2.17.161.67,QUIC,114,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
10,0.023767,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
11,0.063383,192.168.100.130,2.17.161.67,QUIC,203,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
12,0.065625,2.17.161.67,192.168.100.130,QUIC,345,Protected Payload (KP0),0.931376,ATTACK,0.931376
13,0.066003,2.17.161.67,192.168.100.130,QUIC,104,Protected Payload (KP0),0.931376,ATTACK,0.931376
14,0.066317,192.168.100.130,2.17.161.67,QUIC,73,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
