proto,service,sbytes,dbytes,rate,dur,attack_probability,prediction,confidence
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
dhcp,unknown,358,358,10,1,0.9736143,ATTACK,0.9736143
dhcp,unknown,342,342,10,1,0.9473818,ATTACK,0.9473818
icmpv6,unknown,90,90,10,1,0.9582316,ATTACK,0.9582316
igmpv3,unknown,54,54,10,1,0.95153373,ATTACK,0.95153373
icmpv6,unknown,90,90,10,1,0.9582316,ATTACK,0.9582316
igmpv3,unknown,54,54,10,1,0.95153373,ATTACK,0.95153373
icmpv6,unknown,90,90,10,1,0.9582316,ATTACK,0.9582316
igmpv3,unknown,54,54,10,1,0.95153373,ATTACK,0.95153373
icmpv6,unknown,90,90,10,1,0.9582316,ATTACK,0.9582316
igmpv3,unknown,54,54,10,1,0.95153373,ATTACK,0.95153373
igmpv3,unknown,54,54,10,1,0.95153373,ATTACK,0.95153373
icmpv6,unknown,90,90,10,1,0.9582316,ATTACK,0.9582316
llmnr,unknown,95,95,10,1,0.9582316,ATTACK,0.9582316
llmnr,unknown,75,75,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
icmpv6,unknown,90,90,10,1,0.9582316,ATTACK,0.9582316
igmpv3,unknown,54,54,10,1,0.95153373,ATTACK,0.95153373
icmpv6,unknown,90,90,10,1,0.9582316,ATTACK,0.9582316
igmpv3,unknown,54,54,10,1,0.95153373,ATTACK,0.95153373
icmpv6,unknown,90,90,10,1,0.9582316,ATTACK,0.9582316
igmpv3,unknown,54,54,10,1,0.95153373,ATTACK,0.95153373
icmpv6,unknown,90,90,10,1,0.9582316,ATTACK,0.9582316
igmpv3,unknown,54,54,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
igmpv3,unknown,54,54,10,1,0.95153373,ATTACK,0.95153373
icmpv6,unknown,90,90,10,1,0.9582316,ATTACK,0.9582316
llmnr,unknown,95,95,10,1,0.9582316,ATTACK,0.9582316
llmnr,unknown,75,75,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
arp,unknown,42,42,10,1,0.95153373,ATTACK,0.95153373
